driverId,Piloto,nationality,vezes_ultimos_lugares
39,"Narain Karthikeyan",Indian,13
10,"Timo Glock",German,8
24,"Vitantonio Liuzzi",Italian,8
37,"Pedro de la Rosa",Spanish,7
819,"Charles Pic",French,7
816,"J̩r̫me d'Ambrosio",Belgian,6
828,"Marcus Ericsson",Swedish,4
820,"Max Chilton",British,4
29,"Sakon Yamamoto",Japanese,4
16,"Adrian Sutil",German,3
