driverId,Piloto,nationality,vezes_ultimos_lugares
"39,""Narain Karthikeyan"",Indian,13"
"10,""Timo Glock"",German,8"
"24,""Vitantonio Liuzzi"",Italian,8"
"37,""Pedro de la Rosa"",Spanish,7"
"819,""Charles Pic"",French,7"
