driverId,Piloto,position,nationality,raceId,vitorias
"30,""Michael Schumacher"",1,German,300,91"
"1,""Lewis Hamilton"",1,British,985,62"
"117,""Alain Prost"",1,French,495,51"
"20,""Sebastian Vettel"",1,German,987,47"
"102,""Ayrton Senna"",1,Brazilian,432,41"
