Piloto,duration,name
"Pastor Maldonado",12.897,"Abu Dhabi Grand Prix"
"Bruno Senna",12.959,"Abu Dhabi Grand Prix"
"Lewis Hamilton",13.173,"Hungarian Grand Prix"
"Pastor Maldonado",13.186,"Hungarian Grand Prix"
"Michael Schumacher",13.199,"Hungarian Grand Prix"
"Sergio P̩rez",13.201,"Hungarian Grand Prix"
"Pastor Maldonado",13.206,"Hungarian Grand Prix"
"Felipe Massa",13.259,"Spanish Grand Prix"
"Pastor Maldonado",13.266,"Spanish Grand Prix"
"Sebastian Vettel",13.335,"Spanish Grand Prix"
