name,nationality,fastestLapTime
McLaren,British,01:18.7
Ferrari,Italian,01:18.7
Mercedes,German,01:18.7
Sauber,Swiss,01:18.7
Mercedes,German,01:18.7
Mercedes,German,01:18.7
"Toro Rosso",Italian,01:18.7
Ferrari,Italian,01:18.7
"Force India",Indian,01:18.7
"Manor Marussia",British,01:18.7
MF1,Russian,01:18.7
McLaren,British,01:18.8
Williams,British,01:18.8
Toyota,Japanese,01:18.8
Mercedes,German,01:18.8
Sauber,Swiss,01:18.8
McLaren,British,01:18.8
"Super Aguri",Japanese,01:18.8
"Toro Rosso",Italian,01:18.8
Williams,British,01:18.8
Sauber,Swiss,01:18.8
"Toro Rosso",Italian,01:18.8
McLaren,British,01:18.8
"BMW Sauber",German,01:18.8
Minardi,Italian,01:18.8
"Super Aguri",Japanese,01:18.8
"Toro Rosso",Italian,01:18.8
McLaren,British,01:18.8
"Red Bull",Austrian,01:18.8
Ferrari,Italian,01:18.8
"Red Bull",Austrian,01:18.9
McLaren,British,01:18.9
Sauber,Swiss,01:18.9
Mercedes,German,01:18.9
"Force India",Indian,01:18.9
Ferrari,Italian,01:18.9
Minardi,Italian,01:18.9
"BMW Sauber",German,01:18.9
Mercedes,German,01:18.9
"Red Bull",Austrian,01:18.9
Marussia,Russian,01:18.9
"Toro Rosso",Italian,01:18.9
Williams,British,01:18.9
Williams,British,01:18.9
Williams,British,01:18.9
"Force India",Indian,01:18.9
"Red Bull",Austrian,01:18.9
Ferrari,Italian,01:18.9
Williams,British,01:18.9
Toyota,Japanese,01:18.9
Ferrari,Italian,01:18.9
Mercedes,German,01:18.9
"Force India",Indian,01:18.9
"Red Bull",Austrian,01:19.0
Spyker,Dutch,01:19.0
Ferrari,Italian,01:19.0
Minardi,Italian,01:19.0
"Toro Rosso",Italian,01:19.0
"Red Bull",Austrian,01:19.0
"Red Bull",Austrian,01:19.0
Marussia,Russian,01:19.0
Sauber,Swiss,01:19.0
Minardi,Italian,01:19.0
Jordan,Irish,01:19.0
"Red Bull",Austrian,01:19.0
Mercedes,German,01:19.0
"Red Bull",Austrian,01:19.0
"Toro Rosso",Italian,01:19.0
Jordan,Irish,01:19.0
Ferrari,Italian,01:19.0
"Red Bull",Austrian,01:19.1
Toyota,Japanese,01:19.1
"Force India",Indian,01:19.1
Toyota,Japanese,01:19.1
Renault,French,01:19.1
Williams,British,01:19.1
"Manor Marussia",British,01:19.1
"Haas F1 Team",American,01:19.1
Ferrari,Italian,01:19.1
Mercedes,German,01:19.1
Sauber,Swiss,01:19.1
"Red Bull",Austrian,01:19.1
"Super Aguri",Japanese,01:19.1
Ferrari,Italian,01:19.1
Mercedes,German,01:19.1
Renault,French,01:19.1
"Red Bull",Austrian,01:19.1
Mercedes,German,01:19.1
Ferrari,Italian,01:19.1
Jaguar,British,01:19.1
"Red Bull",Austrian,01:19.1
Sauber,Swiss,01:19.1
Toyota,Japanese,01:19.1
Sauber,Swiss,01:19.1
Williams,British,01:19.2
Williams,British,01:19.2
Williams,British,01:19.2
"Toro Rosso",Italian,01:19.2
"Red Bull",Austrian,01:19.2
Ferrari,Italian,01:19.2
Toyota,Japanese,01:19.2
"Force India",Indian,01:19.2
"Lotus F1",British,01:19.2
Renault,French,01:19.2
"Force India",Indian,01:19.2
McLaren,British,01:19.2
Ferrari,Italian,01:19.2
"Red Bull",Austrian,01:19.2
Renault,French,01:19.2
McLaren,British,01:19.2
Williams,British,01:19.2
Sauber,Swiss,01:19.3
Caterham,Malaysian,01:19.3
"BMW Sauber",German,01:19.3
Ferrari,Italian,01:19.3
Sauber,Swiss,01:19.3
Caterham,Malaysian,01:19.3
"Toro Rosso",Italian,01:19.3
Ferrari,Italian,01:19.3
"Force India",Indian,01:19.3
"Toro Rosso",Italian,01:19.3
"BMW Sauber",German,01:19.3
Lotus,Malaysian,01:19.3
McLaren,British,01:19.3
MF1,Russian,01:19.3
MF1,Russian,01:19.3
"Force India",Indian,01:19.3
Honda,Japanese,01:19.3
Williams,British,01:19.3
Spyker,Dutch,01:19.3
Sauber,Swiss,01:19.3
"Red Bull",Austrian,01:19.3
"Force India",Indian,01:19.4
Mercedes,German,01:19.4
Honda,Japanese,01:19.4
MF1,Russian,01:19.4
Jordan,Irish,01:19.4
Caterham,Malaysian,01:19.4
"Lotus F1",British,01:19.4
"Red Bull",Austrian,01:19.4
"Toro Rosso",Italian,01:19.4
Mercedes,German,01:19.4
"Toro Rosso",Italian,01:19.4
"Super Aguri",Japanese,01:19.4
"Force India",Indian,01:19.4
"Toro Rosso",Italian,01:19.4
Mercedes,German,01:19.4
"BMW Sauber",German,01:19.5
BAR,British,01:19.5
McLaren,British,01:19.5
"Force India",Indian,01:19.5
Williams,British,01:19.5
MF1,Russian,01:19.5
"Toro Rosso",Italian,01:19.5
Sauber,Swiss,01:19.5
Toyota,Japanese,01:19.5
"Force India",Indian,01:19.5
McLaren,British,01:19.5
Spyker,Dutch,01:19.5
McLaren,British,01:19.5
McLaren,British,01:19.5
McLaren,British,01:19.5
Renault,French,01:19.5
Sauber,Swiss,01:19.5
McLaren,British,01:19.6
Marussia,Russian,01:19.6
Toyota,Japanese,01:19.6
Mercedes,German,01:19.6
Honda,Japanese,01:19.6
Ferrari,Italian,01:19.6
HRT,Spanish,01:19.6
HRT,Spanish,01:19.6
"Force India",Indian,01:19.6
"Toro Rosso",Italian,01:19.6
McLaren,British,01:19.6
Honda,Japanese,01:19.6
McLaren,British,01:19.6
McLaren,British,01:19.6
"Toro Rosso",Italian,01:19.6
"Red Bull",Austrian,01:19.6
"Toro Rosso",Italian,01:19.6
Williams,British,01:19.6
Marussia,Russian,01:19.6
Marussia,Russian,01:19.6
Ferrari,Italian,01:19.7
"Lotus F1",British,01:19.7
Marussia,Russian,01:19.7
Williams,British,01:19.7
"Force India",Indian,01:19.7
"Force India",Indian,01:19.7
Jordan,Irish,01:19.7
McLaren,British,01:19.7
Ferrari,Italian,01:19.7
"Lotus F1",British,01:19.7
Minardi,Italian,01:19.7
Toyota,Japanese,01:19.8
"Toro Rosso",Italian,01:19.8
"Red Bull",Austrian,01:19.8
McLaren,British,01:19.8
Sauber,Swiss,01:19.8
Mercedes,German,01:19.8
"Force India",Indian,01:19.8
Williams,British,01:19.8
"Red Bull",Austrian,01:19.8
"Toro Rosso",Italian,01:19.8
"Toro Rosso",Italian,01:19.8
"Toro Rosso",Italian,01:19.8
"Haas F1 Team",American,01:19.9
Williams,British,01:19.9
"Force India",Indian,01:19.9
Williams,British,01:19.9
Jordan,Irish,01:19.9
"Manor Marussia",British,01:19.9
Virgin,British,01:19.9
Sauber,Swiss,01:19.9
Mercedes,German,01:19.9
McLaren,British,01:19.9
Renault,French,01:19.9
"Force India",Indian,01:19.9
Mercedes,German,01:19.9
Sauber,Swiss,01:20.0
"Lotus F1",British,01:20.0
Caterham,Malaysian,01:20.0
"Toro Rosso",Italian,01:20.0
Ferrari,Italian,01:20.0
"Toro Rosso",Italian,01:20.0
Williams,British,01:20.0
Jordan,Irish,01:20.0
"Force India",Indian,01:20.1
"Super Aguri",Japanese,01:20.1
"Toro Rosso",Italian,01:20.1
Minardi,Italian,01:20.1
Sauber,Swiss,01:20.1
Honda,Japanese,01:20.1
McLaren,British,01:20.1
McLaren,British,01:20.1
Mercedes,German,01:20.1
HRT,Spanish,01:20.1
Renault,French,01:20.1
Ferrari,Italian,01:20.1
"Toro Rosso",Italian,01:20.1
Ferrari,Italian,01:20.1
McLaren,British,01:20.2
Sauber,Swiss,01:20.2
Ferrari,Italian,01:20.2
Minardi,Italian,01:20.2
"Haas F1 Team",American,01:20.2
Mercedes,German,01:20.2
"Haas F1 Team",American,01:20.2
McLaren,British,01:20.2
Jordan,Irish,01:20.2
McLaren,British,01:20.2
Sauber,Swiss,01:20.2
McLaren,British,01:20.3
"BMW Sauber",German,01:20.3
Williams,British,01:20.3
Mercedes,German,01:20.3
HRT,Spanish,01:20.3
Toyota,Japanese,01:20.3
Renault,French,01:20.3
Marussia,Russian,01:20.3
Williams,British,01:20.3
"Haas F1 Team",American,01:20.3
BAR,British,01:20.4
Williams,British,01:20.4
Renault,French,01:20.4
Ferrari,Italian,01:20.4
"Super Aguri",Japanese,01:20.4
"BMW Sauber",German,01:20.4
"Toro Rosso",Italian,01:20.4
"Manor Marussia",British,01:20.4
Williams,British,01:20.4
Sauber,Swiss,01:20.4
Williams,British,01:20.4
Caterham,Malaysian,01:20.5
Sauber,Swiss,01:20.5
McLaren,British,01:20.5
McLaren,British,01:20.5
Mercedes,German,01:20.5
Caterham,Malaysian,01:20.5
McLaren,British,01:20.5
"Lotus F1",British,01:20.5
"Super Aguri",Japanese,01:20.5
"Red Bull",Austrian,01:20.5
Williams,British,01:20.5
Ferrari,Italian,01:20.5
Ferrari,Italian,01:20.5
Marussia,Russian,01:20.6
HRT,Spanish,01:20.6
Caterham,Malaysian,01:20.6
Marussia,Russian,01:20.6
"BMW Sauber",German,01:20.6
Marussia,Russian,01:20.6
Honda,Japanese,01:20.6
Sauber,Swiss,01:20.6
McLaren,British,01:20.6
Ferrari,Italian,01:20.6
Jordan,Irish,01:20.7
"Red Bull",Austrian,01:20.7
McLaren,British,01:20.7
"Force India",Indian,01:20.7
Williams,British,01:20.7
McLaren,British,01:20.7
"Manor Marussia",British,01:20.7
"Manor Marussia",British,01:20.7
Williams,British,01:20.7
Renault,French,01:20.7
Lotus,Malaysian,01:20.7
Lotus,Malaysian,01:20.7
Lotus,Malaysian,01:20.7
Virgin,British,01:20.7
Renault,French,01:20.7
Mercedes,German,01:20.7
Toyota,Japanese,01:20.8
Sauber,Swiss,01:20.8
Honda,Japanese,01:20.8
Caterham,Malaysian,01:20.8
BAR,British,01:20.8
"Manor Marussia",British,01:20.8
Ferrari,Italian,01:20.8
Jaguar,British,01:20.8
Virgin,British,01:20.8
Jaguar,British,01:20.8
"Force India",Indian,01:20.8
Lotus,Malaysian,01:20.8
"Red Bull",Austrian,01:20.8
"Force India",Indian,01:20.8
Mercedes,German,01:20.8
Williams,British,01:20.9
Ferrari,Italian,01:20.9
Minardi,Italian,01:20.9
Honda,Japanese,01:20.9
"Red Bull",Austrian,01:20.9
Renault,French,01:20.9
Williams,British,01:20.9
Caterham,Malaysian,01:20.9
HRT,Spanish,01:20.9
"Red Bull",Austrian,01:20.9
"Lotus F1",British,01:20.9
"Force India",Indian,01:20.9
"Toro Rosso",Italian,01:20.9
McLaren,British,01:21.0
McLaren,British,01:21.0
Ferrari,Italian,01:21.0
"Lotus F1",British,01:21.0
Toyota,Japanese,01:21.0
Ferrari,Italian,01:21.0
Marussia,Russian,01:21.0
"Super Aguri",Japanese,01:21.0
BAR,British,01:21.0
Sauber,Swiss,01:21.0
McLaren,British,01:21.0
"Lotus F1",British,01:21.0
Jaguar,British,01:21.0
Williams,British,01:21.1
Sauber,Swiss,01:21.1
Williams,British,01:21.1
HRT,Spanish,01:21.1
"Red Bull",Austrian,01:21.1
McLaren,British,01:21.1
Renault,French,01:21.1
"Toro Rosso",Italian,01:21.1
McLaren,British,01:21.1
Minardi,Italian,01:21.1
Williams,British,01:21.1
Williams,British,01:21.1
"Haas F1 Team",American,01:21.2
Renault,French,01:21.2
McLaren,British,01:21.2
Sauber,Swiss,01:21.2
"Force India",Indian,01:21.2
McLaren,British,01:21.2
Brawn,British,01:21.2
Mercedes,German,01:21.2
Ferrari,Italian,01:21.2
BAR,British,01:21.2
Renault,French,01:21.2
Williams,British,01:21.3
Toyota,Japanese,01:21.3
Sauber,Swiss,01:21.3
Ferrari,Italian,01:21.3
McLaren,British,01:21.3
Mercedes,German,01:21.3
Williams,British,01:21.3
Toyota,Japanese,01:21.3
Marussia,Russian,01:21.3
Lotus,Malaysian,01:21.3
Brawn,British,01:21.4
Virgin,British,01:21.4
Ferrari,Italian,01:21.4
Sauber,Swiss,01:21.4
BAR,British,01:21.4
Ferrari,Italian,01:21.4
Renault,French,01:21.4
HRT,Spanish,01:21.5
McLaren,British,01:21.5
"Red Bull",Austrian,01:21.5
HRT,Spanish,01:21.5
"Lotus F1",British,01:21.5
Jordan,Irish,01:21.5
Ferrari,Italian,01:21.5
McLaren,British,01:21.5
Williams,British,01:21.5
Minardi,Italian,01:21.5
"Red Bull",Austrian,01:21.5
Ferrari,Italian,01:21.5
Williams,British,01:21.5
Renault,French,01:21.5
"Red Bull",Austrian,01:21.6
Renault,French,01:21.6
"Force India",Indian,01:21.6
Renault,French,01:21.6
Renault,French,01:21.6
Minardi,Italian,01:21.6
Renault,French,01:21.6
HRT,Spanish,01:21.6
"Red Bull",Austrian,01:21.6
Renault,French,01:21.6
Toyota,Japanese,01:21.6
"Toro Rosso",Italian,01:21.6
Williams,British,01:21.6
Sauber,Swiss,01:21.6
Renault,French,01:21.7
Sauber,Swiss,01:21.7
Ferrari,Italian,01:21.7
Williams,British,01:21.7
Renault,French,01:21.7
Ferrari,Italian,01:21.7
"Manor Marussia",British,01:21.7
McLaren,British,01:21.7
Renault,French,01:21.7
MF1,Russian,01:21.7
Virgin,British,01:21.7
Jordan,Irish,01:21.7
McLaren,British,01:21.7
Ferrari,Italian,01:21.7
Toyota,Japanese,01:21.7
Toyota,Japanese,01:21.7
"Manor Marussia",British,01:21.8
Marussia,Russian,01:21.8
Renault,French,01:21.8
Toyota,Japanese,01:21.8
HRT,Spanish,01:21.8
"Force India",Indian,01:21.8
Williams,British,01:21.8
Sauber,Swiss,01:21.8
Caterham,Malaysian,01:21.8
McLaren,British,01:21.8
Toyota,Japanese,01:21.8
McLaren,British,01:21.8
Ferrari,Italian,01:21.8
Virgin,British,01:21.8
Sauber,Swiss,01:21.8
Ferrari,Italian,01:21.8
Sauber,Swiss,01:21.9
Minardi,Italian,01:21.9
"Red Bull",Austrian,01:21.9
Virgin,British,01:21.9
Sauber,Swiss,01:21.9
HRT,Spanish,01:21.9
Ferrari,Italian,01:21.9
"Toro Rosso",Italian,01:21.9
Ferrari,Italian,01:21.9
"Toro Rosso",Italian,01:21.9
Toyota,Japanese,01:21.9
"BMW Sauber",German,01:21.9
Renault,French,01:21.9
"Toro Rosso",Italian,01:21.9
BAR,British,01:21.9
Williams,British,01:21.9
Ferrari,Italian,01:21.9
Honda,Japanese,01:22.0
Jordan,Irish,01:22.0
Toyota,Japanese,01:22.0
Sauber,Swiss,01:22.0
"BMW Sauber",German,01:22.0
HRT,Spanish,01:22.0
MF1,Russian,01:22.0
"Force India",Indian,01:22.0
BAR,British,01:22.0
Williams,British,01:22.0
McLaren,British,01:22.0
McLaren,British,01:22.0
"Toro Rosso",Italian,01:22.0
"BMW Sauber",German,01:22.0
Virgin,British,01:22.1
Renault,French,01:22.1
"Red Bull",Austrian,01:22.1
Toyota,Japanese,01:22.1
Renault,French,01:22.1
"Force India",Indian,01:22.1
Williams,British,01:22.1
"BMW Sauber",German,01:22.1
Jordan,Irish,01:22.1
"Force India",Indian,01:22.1
"Haas F1 Team",American,01:22.1
"BMW Sauber",German,01:22.1
Williams,British,01:22.2
"Super Aguri",Japanese,01:22.2
Lotus,Malaysian,01:22.2
"BMW Sauber",German,01:22.2
"BMW Sauber",German,01:22.2
"Lotus F1",British,01:22.2
"Toro Rosso",Italian,01:22.2
Renault,French,01:22.2
"Toro Rosso",Italian,01:22.2
"Lotus F1",British,01:22.3
Virgin,British,01:22.3
Spyker,Dutch,01:22.3
"Lotus F1",British,01:22.3
Ferrari,Italian,01:22.3
Minardi,Italian,01:22.3
Williams,British,01:22.4
HRT,Spanish,01:22.4
Honda,Japanese,01:22.4
Honda,Japanese,01:22.4
"Toro Rosso",Italian,01:22.4
Caterham,Malaysian,01:22.4
BAR,British,01:22.4
"Force India",Indian,01:22.4
Ferrari,Italian,01:22.4
McLaren,British,01:22.4
"Force India",Indian,01:22.4
Honda,Japanese,01:22.4
"Red Bull",Austrian,01:22.4
BAR,British,01:22.4
Ferrari,Italian,01:22.4
"Super Aguri",Japanese,01:22.4
Renault,French,01:22.5
Renault,French,01:22.5
McLaren,British,01:22.5
"Toro Rosso",Italian,01:22.5
Ferrari,Italian,01:22.5
Marussia,Russian,01:22.5
Williams,British,01:22.5
McLaren,British,01:22.5
McLaren,British,01:22.5
Jaguar,British,01:22.5
Virgin,British,01:22.5
Toyota,Japanese,01:22.5
Sauber,Swiss,01:22.5
Ferrari,Italian,01:22.5
Toyota,Japanese,01:22.5
"BMW Sauber",German,01:22.5
McLaren,British,01:22.5
Toyota,Japanese,01:22.5
Williams,British,01:22.5
Sauber,Swiss,01:22.5
BAR,British,01:22.6
BAR,British,01:22.6
Renault,French,01:22.6
Mercedes,German,01:22.6
Sauber,Swiss,01:22.6
Renault,French,01:22.6
"Toro Rosso",Italian,01:22.6
McLaren,British,01:22.6
"Red Bull",Austrian,01:22.6
"Force India",Indian,01:22.6
McLaren,British,01:22.6
Ferrari,Italian,01:22.6
"Toro Rosso",Italian,01:22.6
Sauber,Swiss,01:22.7
"Toro Rosso",Italian,01:22.7
Williams,British,01:22.7
"BMW Sauber",German,01:22.7
BAR,British,01:22.7
BAR,British,01:22.7
"Manor Marussia",British,01:22.7
Ferrari,Italian,01:22.7
HRT,Spanish,01:22.7
Renault,French,01:22.7
"Red Bull",Austrian,01:22.7
Sauber,Swiss,01:22.7
Brawn,British,01:22.7
"Red Bull",Austrian,01:22.7
Toyota,Japanese,01:22.7
Toyota,Japanese,01:22.8
"Force India",Indian,01:22.8
"Red Bull",Austrian,01:22.8
Williams,British,01:22.8
Caterham,Malaysian,01:22.8
Brawn,British,01:22.8
Ferrari,Italian,01:22.8
Marussia,Russian,01:22.8
Toyota,Japanese,01:22.8
Williams,British,01:22.8
Mercedes,German,01:22.8
McLaren,British,01:22.8
"Red Bull",Austrian,01:22.8
Caterham,Malaysian,01:22.9
McLaren,British,01:22.9
Honda,Japanese,01:22.9
Williams,British,01:22.9
McLaren,British,01:22.9
Toyota,Japanese,01:22.9
Jordan,Irish,01:22.9
Jaguar,British,01:22.9
Renault,French,01:22.9
Brawn,British,01:22.9
Renault,French,01:22.9
"BMW Sauber",German,01:22.9
Sauber,Swiss,01:22.9
"Red Bull",Austrian,01:22.9
Williams,British,01:22.9
Williams,British,01:22.9
McLaren,British,01:22.9
McLaren,British,01:22.9
"Lotus F1",British,01:22.9
Renault,French,01:22.9
Sauber,Swiss,01:22.9
Williams,British,01:22.9
Williams,British,01:22.9
Marussia,Russian,01:23.0
Ferrari,Italian,01:23.0
"Lotus F1",British,01:23.0
McLaren,British,01:23.0
Brawn,British,01:23.0
Toyota,Japanese,01:23.0
McLaren,British,01:23.0
McLaren,British,01:23.0
"Toro Rosso",Italian,01:23.0
McLaren,British,01:23.0
McLaren,British,01:23.0
Renault,French,01:23.0
Sauber,Swiss,01:23.0
"BMW Sauber",German,01:23.1
Renault,French,01:23.1
HRT,Spanish,01:23.1
"BMW Sauber",German,01:23.1
"Red Bull",Austrian,01:23.1
Jaguar,British,01:23.1
Renault,French,01:23.1
Renault,French,01:23.1
"Red Bull",Austrian,01:23.1
Caterham,Malaysian,01:23.1
Toyota,Japanese,01:23.1
"Red Bull",Austrian,01:23.1
Sauber,Swiss,01:23.1
Ferrari,Italian,01:23.1
Toyota,Japanese,01:23.1
Ferrari,Italian,01:23.1
"Red Bull",Austrian,01:23.1
"Red Bull",Austrian,01:23.1
Toyota,Japanese,01:23.1
Williams,British,01:23.2
BAR,British,01:23.2
"Toro Rosso",Italian,01:23.2
Honda,Japanese,01:23.2
Caterham,Malaysian,01:23.2
Sauber,Swiss,01:23.2
"BMW Sauber",German,01:23.2
Ferrari,Italian,01:23.2
Williams,British,01:23.2
"Force India",Indian,01:23.2
Ferrari,Italian,01:23.3
McLaren,British,01:23.3
Toyota,Japanese,01:23.3
"Force India",Indian,01:23.3
Williams,British,01:23.3
"BMW Sauber",German,01:23.3
Williams,British,01:23.3
Williams,British,01:23.3
"Haas F1 Team",American,01:23.3
"BMW Sauber",German,01:23.3
BAR,British,01:23.3
Jordan,Irish,01:23.4
BAR,British,01:23.4
Honda,Japanese,01:23.4
Toyota,Japanese,01:23.4
Jaguar,British,01:23.4
HRT,Spanish,01:23.4
McLaren,British,01:23.4
Ferrari,Italian,01:23.4
Renault,French,01:23.4
"Super Aguri",Japanese,01:23.4
Williams,British,01:23.4
Sauber,Swiss,01:23.4
"Force India",Indian,01:23.4
Ferrari,Italian,01:23.4
Sauber,Swiss,01:23.4
"Toro Rosso",Italian,01:23.4
Renault,French,01:23.4
Minardi,Italian,01:23.4
"Red Bull",Austrian,01:23.4
Mercedes,German,01:23.5
Mercedes,German,01:23.5
Ferrari,Italian,01:23.5
"Red Bull",Austrian,01:23.5
"BMW Sauber",German,01:23.5
"Red Bull",Austrian,01:23.5
HRT,Spanish,01:23.5
Renault,French,01:23.5
Williams,British,01:23.5
Ferrari,Italian,01:23.5
Williams,British,01:23.5
"Haas F1 Team",American,01:23.5
Ferrari,Italian,01:23.5
"Force India",Indian,01:23.5
Honda,Japanese,01:23.5
"Red Bull",Austrian,01:23.5
Williams,British,01:23.6
"Force India",Indian,01:23.6
"Red Bull",Austrian,01:23.6
"Toro Rosso",Italian,01:23.6
Ferrari,Italian,01:23.6
Sauber,Swiss,01:23.6
Jaguar,British,01:23.6
Renault,French,01:23.6
"Toro Rosso",Italian,01:23.6
Sauber,Swiss,01:23.6
"Toro Rosso",Italian,01:23.6
Honda,Japanese,01:23.6
Renault,French,01:23.6
Mercedes,German,01:23.6
Williams,British,01:23.6
Sauber,Swiss,01:23.7
McLaren,British,01:23.7
Williams,British,01:23.7
"BMW Sauber",German,01:23.7
"Force India",Indian,01:23.7
Toyota,Japanese,01:23.7
"Red Bull",Austrian,01:23.7
"Red Bull",Austrian,01:23.7
"Red Bull",Austrian,01:23.7
Ferrari,Italian,01:23.7
McLaren,British,01:23.7
Mercedes,German,01:23.7
Ferrari,Italian,01:23.7
McLaren,British,01:23.7
Renault,French,01:23.8
McLaren,British,01:23.8
Honda,Japanese,01:23.8
"Red Bull",Austrian,01:23.8
Mercedes,German,01:23.8
McLaren,British,01:23.8
"Force India",Indian,01:23.8
Sauber,Swiss,01:23.9
Williams,British,01:23.9
"BMW Sauber",German,01:23.9
"Red Bull",Austrian,01:23.9
"BMW Sauber",German,01:23.9
McLaren,British,01:23.9
Honda,Japanese,01:23.9
"Red Bull",Austrian,01:23.9
Toyota,Japanese,01:23.9
McLaren,British,01:23.9
Ferrari,Italian,01:23.9
Toyota,Japanese,01:24.0
MF1,Russian,01:24.0
"Red Bull",Austrian,01:24.0
Sauber,Swiss,01:24.0
Ferrari,Italian,01:24.0
Toyota,Japanese,01:24.0
Ferrari,Italian,01:24.1
"Lotus F1",British,01:24.1
"Red Bull",Austrian,01:24.1
"Super Aguri",Japanese,01:24.1
Jordan,Irish,01:24.1
Ferrari,Italian,01:24.1
Ferrari,Italian,01:24.1
"Super Aguri",Japanese,01:24.1
"Red Bull",Austrian,01:24.1
"BMW Sauber",German,01:24.1
Jordan,Irish,01:24.1
Toyota,Japanese,01:24.1
Honda,Japanese,01:24.2
Jordan,Irish,01:24.2
Williams,British,01:24.2
Williams,British,01:24.2
"Toro Rosso",Italian,01:24.2
Toyota,Japanese,01:24.2
"Toro Rosso",Italian,01:24.2
Jordan,Irish,01:24.2
Ferrari,Italian,01:24.2
Renault,French,01:24.2
McLaren,British,01:24.2
Williams,British,01:24.2
"Super Aguri",Japanese,01:24.3
Honda,Japanese,01:24.3
Renault,French,01:24.3
McLaren,British,01:24.3
Sauber,Swiss,01:24.3
Minardi,Italian,01:24.3
Minardi,Italian,01:24.3
Sauber,Swiss,01:24.3
"Red Bull",Austrian,01:24.3
Sauber,Swiss,01:24.3
Williams,British,01:24.3
Spyker,Dutch,01:24.4
Jordan,Irish,01:24.4
Williams,British,01:24.4
Ferrari,Italian,01:24.4
Ferrari,Italian,01:24.4
BAR,British,01:24.4
McLaren,British,01:24.4
"Red Bull",Austrian,01:24.4
"Red Bull",Austrian,01:24.5
Honda,Japanese,01:24.5
Mercedes,German,01:24.5
HRT,Spanish,01:24.5
Ferrari,Italian,01:24.5
Williams,British,01:24.5
"Toro Rosso",Italian,01:24.5
"Red Bull",Austrian,01:24.6
"Super Aguri",Japanese,01:24.6
Ferrari,Italian,01:24.6
Ferrari,Italian,01:24.6
Williams,British,01:24.6
Minardi,Italian,01:24.6
"Red Bull",Austrian,01:24.6
McLaren,British,01:24.6
Virgin,British,01:24.6
Toyota,Japanese,01:24.6
Mercedes,German,01:24.6
Renault,French,01:24.6
"Red Bull",Austrian,01:24.6
MF1,Russian,01:24.6
Renault,French,01:24.6
"Red Bull",Austrian,01:24.6
Renault,French,01:24.6
Renault,French,01:24.6
"Super Aguri",Japanese,01:24.7
Jordan,Irish,01:24.7
"Toro Rosso",Italian,01:24.7
"Force India",Indian,01:24.7
"Haas F1 Team",American,01:24.7
"Red Bull",Austrian,01:24.7
Mercedes,German,01:24.7
Renault,French,01:24.7
Honda,Japanese,01:24.7
Sauber,Swiss,01:24.7
Toyota,Japanese,01:24.8
"Spyker MF1",Dutch,01:24.8
Ferrari,Italian,01:24.8
"Red Bull",Austrian,01:24.8
"Red Bull",Austrian,01:24.8
Ferrari,Italian,01:24.8
McLaren,British,01:24.8
Jordan,Irish,01:24.8
McLaren,British,01:24.8
Renault,French,01:24.8
Jordan,Irish,01:24.8
Renault,French,01:24.8
Honda,Japanese,01:24.8
"Red Bull",Austrian,01:24.8
"Toro Rosso",Italian,01:24.8
"Force India",Indian,01:24.9
Mercedes,German,01:24.9
Minardi,Italian,01:24.9
Mercedes,German,01:24.9
Brawn,British,01:24.9
Brawn,British,01:25.0
Minardi,Italian,01:25.0
McLaren,British,01:25.0
"Manor Marussia",British,01:25.0
Spyker,Dutch,01:25.0
"Manor Marussia",British,01:25.0
McLaren,British,01:25.0
Sauber,Swiss,01:25.0
Williams,British,01:25.0
McLaren,British,01:25.0
"Red Bull",Austrian,01:25.0
Toyota,Japanese,01:25.0
"Force India",Indian,01:25.0
Williams,British,01:25.0
"Force India",Indian,01:25.0
"Haas F1 Team",American,01:25.0
Ferrari,Italian,01:25.1
"Force India",Indian,01:25.1
Renault,French,01:25.1
McLaren,British,01:25.1
Mercedes,German,01:25.1
Honda,Japanese,01:25.1
"Toro Rosso",Italian,01:25.1
McLaren,British,01:25.1
Jordan,Irish,01:25.1
"Force India",Indian,01:25.1
"Super Aguri",Japanese,01:25.1
Renault,French,01:25.1
"Toro Rosso",Italian,01:25.1
Mercedes,German,01:25.1
Minardi,Italian,01:25.2
Toyota,Japanese,01:25.2
"Red Bull",Austrian,01:25.2
Ferrari,Italian,01:25.2
Sauber,Swiss,01:25.2
McLaren,British,01:25.2
Renault,French,01:25.2
"Toro Rosso",Italian,01:25.2
"Toro Rosso",Italian,01:25.2
Honda,Japanese,01:25.2
Ferrari,Italian,01:25.2
Williams,British,01:25.2
"Red Bull",Austrian,01:25.2
Spyker,Dutch,01:25.2
Williams,British,01:25.3
Toyota,Japanese,01:25.3
Williams,British,01:25.3
"Lotus F1",British,01:25.3
"Lotus F1",British,01:25.3
McLaren,British,01:25.3
"Red Bull",Austrian,01:25.3
Jordan,Irish,01:25.3
"Toro Rosso",Italian,01:25.3
Honda,Japanese,01:25.3
Spyker,Dutch,01:25.3
Williams,British,01:25.3
"Toro Rosso",Italian,01:25.4
Mercedes,German,01:25.4
Ferrari,Italian,01:25.4
Renault,French,01:25.4
Spyker,Dutch,01:25.4
"Toro Rosso",Italian,01:25.4
Renault,French,01:25.4
"Red Bull",Austrian,01:25.4
"Force India",Indian,01:25.4
"BMW Sauber",German,01:25.4
Williams,British,01:25.4
"Force India",Indian,01:25.4
Ferrari,Italian,01:25.5
Mercedes,German,01:25.5
Renault,French,01:25.5
Ferrari,Italian,01:25.5
